university,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ncsu,"4,168.55","4,249.00","4,678.00","5,002.00","5,143.00","5,396.00","6,393.30","6,874.20","7,643.55","8,055.15","8,133.42","8,406.88"
unc,"4,359.52","4,515.02","4,875.82","5,176.30","5,227.99","5,450.16","6,487.49","6,823.96","7,499.81","8,122.98","8,106.84","8,334.19"
ecu,"3,320.00","3,470.00","3,816.00","4,181.00","4,149.00","4,220.00","4,750.00","5,317.00","5,813.00","6,084.00","5,984.00","6,421.00"
ncat,"3,003.00","3,048.00","3,348.00","3,429.00","3,511.75","3,599.75","4,320.00","4,566.50","4,951.50","5,314.50","5,535.17","5,865.17"
uncc,"3,419.00","3,495.00","3,841.00","4,091.00","4,226.00","4,356.00","5,064.00","5,360.00","5,777.00","6,009.00","6,179.00","6,414.00"
uncg,"3,384.00","3,416.00","3,762.00","3,978.00","4,084.00","4,186.00","4,925.00","5,445.00","6,085.00","6,322.00","6,385.00","6,674.00"
app,"3,154.50","3,234.50","3,869.50","4,184.00","4,274.00","4,424.00","5,173.74","5,455.74","5,962.00","6,356.00","6,438.00","6,719.00"
fsu,"2,520.00","2,520.00","2,842.00","3,020.00","3,020.00","3,152.00","3,451.00","4,084.00","4,393.76","4,579.76","4,629.76","4,859.76"
nccu,"3,041.00","3,095.00","3,395.00","3,605.00","3,689.89","3,861.21","4,479.42","4,719.92","5,119.03","5,444.09","5,444.09","5,674.09"
uncp,"2,824.00","2,839.00","3,221.00","3,396.00","3,497.00","3,655.00","4,059.00","4,587.00","4,776.00","5,063.00","5,206.00","5,483.40"
uncw,"3,574.50","3,638.75","4,080.75","4,312.40","4,441.15","4,872.80","5,321.90","5,594.55","6,121.70","6,266.10","6,314.70","6,599.66"
wcu,"3,201.50","3,311.00","3,623.00","3,950.00","4,085.50","4,214.00","5,000.80","5,250.00","5,772.00","6,096.00","6,156.00","6,474.00"
wssu,"2,654.00","2,779.00","3,108.00","3,274.00","3,338.00","3,471.16","4,017.16","4,513.16","4,850.16","5,377.16","5,623.16","5,616.16"
unca,"3,321.50","3,454.50","3,810.50","4,043.85","4,174.35","4,328.85","4,677.50","5,283.50","5,806.50","6,121.00","6,272.00","6,485.00"
ecsu,"2,473.50","2,492.50","2,763.50","2,896.50","2,920.50","3,031.00","3,639.38","3,828.66","7,351.00","4,427.63","4,496.74","4,656.74"
